id,created_at,text
524619783065858048,2014-10-21 17:54:37,b'At 5:30pm ET I will be talking to @SRuhle on @BloombergTV. #RHInvestors'
524619155375673344,2014-10-21 17:52:08,b'I will be speaking with @ScottWapnerCNBC on @CNBC at 5pm ET.  #RHInvestors'
524609196625784833,2014-10-21 17:12:33,b'Today I\xe2\x80\x99ll be speaking about #shareholderactivism at the @robinhoodnyc #RHInvestors conference to help a great cause.'
520660031550017536,2014-10-10 19:39:59,b'A Message to Concerned Citizens of Atlantic City: http://t.co/K2pkGqCchV'
520624097425113088,2014-10-10 17:17:12,b'Just posted message to Mayor Guardian of Atlantic City.  Happy he recognizes our turnaround of the Tropicana in AC http://t.co/TvWthLrrYl'
520266556115542016,2014-10-09 17:36:27,"b'At 3pm we\xe2\x80\x99ll be on @FoxBusiness  with @LizClaman &amp; @CGasparino, and we promise that is it for today.'"
520265224180727809,2014-10-09 17:31:10,"b'We\xe2\x80\x99ll be talking to @trish_regan of @BloombergTV at 2pm about $AAPL, activism and more.'"
520233482766012416,2014-10-09 15:25:02,"b'I, Brett &amp; Dave (the Sargon duo) will be speaking w/ @ScottWapnerCNBC at noon on @CNBCFastMoney Halftime Report re $AAPL, &amp; activism'"
520194248327852034,2014-10-09 12:49:08,"b'Our letter to @tim_cook re $AAPL on @YahooFinance Contributors ""Sale: Apple Shares at Half Price"" http://t.co/z4F2XMtHv8'"
520190869849534464,2014-10-09 12:35:42,"b'Here\xe2\x80\x99s our letter to @tim_cook re $AAPL:  ""Sale: Apple Shares at Half Price"" http://t.co/1DOSdoRPOW'"
519918577718423552,2014-10-08 18:33:43,b'Tmrw we\xe2\x80\x99ll be sending an open letter to @tim_cook.  Believe it will be interesting.'
519918488040005632,2014-10-08 18:33:21,"b'Just over 1yr ago we tweeted our large position in $AAPL &amp; belief the company extremely undervalued.  Since then, stock is up 50.6%'"
516971802128818177,2014-09-30 15:24:17,b'Happy about spin off of PayPal. Read more on my thoughts concerning future of $EBAY at Shareholders\xe2\x80\x99 Square Table: http://t.co/n3ypp4T3yQ'
516699819713507328,2014-09-29 21:23:31,"b""I just released a statement on Taj AC. I find Union reaction incomprehensible.  See Shareholders' Square Table:  http://t.co/gfMdMYlr3F"""
510198935491985410,2014-09-11 22:51:19,b'Happy to have 3 nominees joining $HTZ Board soon http://t.co/tB37eyhCQM'
504643451124985856,2014-08-27 14:55:49,"b'To Rich Handler, will get back to you shortly on #ALSChallenge, but right now too busy working on BIG deal with another investment banker'"
502936516487045122,2014-08-22 21:53:04,b'Here\xe2\x80\x99s an interesting piece from @CNNMoney that points to several others concerned with a stock market bubble: http://t.co/xTTiSmPc0u'
502879689892171777,2014-08-22 18:07:15,b'I believe sound #shareholderactivism (note $IEP) can help alleviate some of these current economic struggles http://t.co/mElFXbWYEw'
502879384743976960,2014-08-22 18:06:03,"b'As I\xe2\x80\x99ve said b4, w/ exceptions, many companies in America are terribly run. This sad situation leads to many financial woes we face today.'"
502181631562891264,2014-08-20 19:53:25,b'Read our 13D on $HTZ here: http://t.co/Asadtb7xqj'
502178561479159809,2014-08-20 19:41:13,b'We just filed a 13D on The Hertz Corporation ($HTZ).'
501794327505686528,2014-08-19 18:14:25,b'More observations about markets and stocks to come. See http://t.co/DOV4d2Aa5Q'
501794271922765824,2014-08-19 18:14:11,b'All my chips still on the table and in fact increased position over past year.'
501794143413493760,2014-08-19 18:13:41,b'Believed $AAPL to be one of my \xe2\x80\x9cno-brainers\xe2\x80\x9d. Anyone that invested at that time would be up 53% (including dividends)'
501794076942172160,2014-08-19 18:13:25,b'About 1 yr ago we tweeted to our followers about our investment in $AAPL and that stock was \xe2\x80\x9cextremely undervalued\xe2\x80\x9d https://t.co/JUrfmWEHLx'
501793872159449089,2014-08-19 18:12:36,b'$AAPL crossed $100 today (equivalent of pre split $700).'
501451810369175554,2014-08-18 19:33:22,"b'In response to media inquiries, see our statement concerning Dollar General\xe2\x80\x99s ($DG) bid for Family Dollar ($FDO): http://t.co/DOV4d2Aa5Q'"
500029498080129024,2014-08-14 21:21:37,b'We just filed a 13D on Gannett Company ($GCI).  Read more here:http://t.co/yfOWKVY58w'
499202842981576704,2014-08-12 14:36:47,"b'Excited to be a member of @YahooFinance Contributors.  Here\xe2\x80\x99s my first post, \xe2\x80\x9cThe Bottom Line\xe2\x80\x9d: http://t.co/tE4q1IaH0c $IEP'"
